No.,Estado,Sistema,Nombre_común,Género,Especie,Región, Localidad,Latitud,Longitud,Altitud,CodMunicip,Municipio
NA,Oaxaca,Agroforestal,epazote,Dysphania,ambrosioides,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,tuza,Geomyidae,sp,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,golondrina,Hirundo,rustica,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,puerco espin ,Hystrix,sp,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,oreja de leon,Leonotis,leonurus,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Mango,Mangifera,indica,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Yuca,Manihot,esculenta,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,tejon,Meles,meles,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,tejon,Meles,meles,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,yerba buena,Mentha,spicata,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,Coralillo,Micrurus,sp,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,venado,Odocoileus,sp,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,venado,Odocoileus,sp,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,Conejo,Oryctolagus,sp,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,granada de moco,Passiflora,ligularis,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Aguacate,Persea,americana,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,frijol,Phaseolus,vulgaris,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Pinos,Pinus,sp,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,Pinos,Pinus,sp,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,pericos,Pionus,senilis,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Zapote/Mamey,Pouteria,sapota,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Durazno,Prunus,persica,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,Encino,Quercus,sp,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,rabano,Raphanus,sativus,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,Ardilla,Sciurus,sp,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,tomate,Solanum,lycopersicum,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,yerba mora,Solanum,nigrum,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,jabali,Sus,scrofas,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,zorzal,Turdus,sp,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,zorro,Vulpes,sp,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,Maíz,Zea,mays,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Forestal,Pinos,Pinus,patula,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
NA,Oaxaca,Forestal,Pinos,Pinus,pseudostrobus,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
NA,Oaxaca,Forestal,Pinos,Pinus,rudis,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
NA,Oaxaca,Forestal,Pinos,Pinus,rudis,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
NA,Oaxaca,Forestal,Pinos,Pinus,rudis,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
NA,Oaxaca,Forestal,Pinos,Pinus,ayacahuite,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
NA,Oaxaca,Forestal,Pinos,Pinus,ayacahuite,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
NA,Oaxaca,Forestal,Pinos,Pinus,ayacahuite,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
NA,Oaxaca,Forestal,Pinos,Pinus,douglasiana,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
NA,Oaxaca,Forestal,Pinos,Pinus,douglasiana,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
NA,Oaxaca,Forestal,Pinos,Pinus,douglasiana,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
NA,Oaxaca,Forestal,Pinos,Pinus,pseudostrobus,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
NA,Oaxaca,Forestal,Pinos,Pinus,pseudostrobus,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
NA,Oaxaca,Forestal,Pinos,Pinus,pseudostrobus,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
NA,Oaxaca,Forestal,Pinos,Pinus,teocote,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
NA,Oaxaca,Forestal,Pinos,Pinus,teocote,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
NA,Oaxaca,Forestal,Pinos,Pinus,teocote,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
NA,Oaxaca,Forestal,Encino,Quercus,rugosa,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
NA,Oaxaca,Forestal,Encino,Quercus,rugosa,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
NA,Oaxaca,Forestal,Encino,Quercus,rugosa,Sierra Norte,Pueblos Mancomunados,17.272667,-96.471531,2750,20262,San Miguel Amatlán
